meal_name,ingredients,calories_per_serving,carbs,proteins,fats,diet_type,meal_time,serving_size,region,cost_per_serving_in_inr
Upma,"Semolina, vegetables, spices",200,30,6,5,Vegetarian,Breakfast,1 bowl,South India,30
Amti,"Lentils, tamarind, spices",100,10,6,2,Vegetarian,Lunch,1 bowl,Maharashtra,20
Zunka,"Gram flour, onion, spices",120,15,5,3,Vegetarian,Lunch,1 bowl,Maharashtra,20
Kolim Jawla,"Shrimp, onion, spices",180,10,10,10,Non-Vegetarian,Lunch,1 bowl,Maharashtra,40
Saath,"Rice flour, spices",150,20,3,7,Vegetarian,Snack,1 piece,Maharashtra,25
Bajri no rotlo,Pearl millet flour,120,20,4,2,Vegetarian,Lunch,1 rotlo,Gujarat,15
Coconut vadi,"Coconut, sugar",180,25,2,8,Vegetarian,Dessert,1 piece,Maharashtra,30
Bhakri,Jowar/Bajra/Rice flour,100,15,3,1,Vegetarian,Lunch/Dinner,1 bhakri,Maharashtra,15
Bombil fry,"Bombay Duck, spices",150,5,10,8,Non-Vegetarian,Snack,2 pieces,Maharashtra,40
Chakali,"Rice flour, lentils, spices",180,20,4,9,Vegetarian,Snack,4 pieces,Maharashtra,30
Chevdo,"Flattened rice, nuts, spices",200,25,4,10,Vegetarian,Snack,1/2 cup,Gujarat,35
Chorafali,"Gram flour, spices",150,15,6,6,Vegetarian,Snack,1/2 cup,Gujarat,30
Copra paak,"Coconut, sugar",200,30,2,8,Vegetarian,Dessert,1 piece,Maharashtra,30
Daal Dhokli,"Wheat flour, lentils, spices",250,30,8,10,Vegetarian,Lunch,1 bowl,Gujarat,35
Kutchi dabeli,"Potato, spices, bread",220,25,5,10,Vegetarian,Snack,1 dabeli,Gujarat,30
Dahi vada,"Lentil fritters, yogurt, spices",220,24,8,8,Vegetarian,Snack,2 pieces,North India,25
Dalithoy,"Lentils, coconut, spices",120,10,7,5,Vegetarian,Lunch,1 bowl,Goa,20
Dhokla,"Gram flour, spices",150,22,6,4,Vegetarian,Breakfast,2 pieces,Gujarat,20
Dudhi halwa,"Bottle gourd, milk, sugar, ghee",200,30,4,8,Vegetarian,Dessert,1 bowl,Gujarat,30
Gatta curry,"Gram flour, yogurt, spices",280,25,10,15,Vegetarian,Lunch,1 bowl,Rajasthan,40
Gud papdi,"Gram flour, ghee, sugar",300,35,5,16,Vegetarian,Dessert,1 piece,Gujarat,45
Ghooghra,"Wheat flour, coconut, jaggery, spices",250,30,4,12,Vegetarian,Snack,1 piece,Gujarat,35
Handwo,"Lentils, rice, vegetables, spices",220,30,7,6,Vegetarian,Breakfast,1 slice,Gujarat,30
Halvasan,"Wheat flour, milk, sugar, ghee",320,40,6,16,Vegetarian,Dessert,1 piece,Gujarat,50
Jeera Aloo,"Potato, cumin seeds, spices",150,20,3,7,Vegetarian,Side Dish,1 bowl,North India,25
Kansar,"Wheat flour, ghee, jaggery",350,45,5,18,Vegetarian,Dessert,1 bowl,Gujarat,50
Keri no ras,"Mango, sugar, milk",180,25,2,8,Vegetarian,Dessert,1 bowl,Gujarat,30
Khakhra,"Wheat flour, spices",80,15,2,1,Vegetarian,Snack,1 piece,Gujarat,15
Khandvi,"Gram flour, yogurt, spices",150,20,6,4,Vegetarian,Snack,4 pieces,Gujarat,30
Kombdi vade,"Chicken, rice flour, spices",350,20,20,20,Non-Vegetarian,Lunch,1 plate,Maharashtra,90
Laapsi,"Wheat, ghee, jaggery",300,40,5,14,Vegetarian,Dessert,1 bowl,Gujarat,45
Koshimbir,"Cucumber, lentils, coconut, coriander, lemon",120,10,6,6,Vegetarian,Side Dish,1/2 cup,Maharashtra,25
Methi na Gota,"Gram flour, fenugreek leaves, spices",180,20,6,8,Vegetarian,Snack,4 pieces,Gujarat,30
Mohanthal,"Gram flour, sugar, ghee",320,40,6,16,Vegetarian,Dessert,1 piece,Gujarat,50
Muthiya,"Gram flour, bottle gourd, spices",150,20,5,5,Vegetarian,Snack,4 pieces,Gujarat,25
Patra,"Colocasia leaves, gram flour, spices",180,20,6,8,Vegetarian,Snack,4 pieces,Gujarat,30
Pav Bhaji,"Potato, mixed vegetables, butter, pav",400,45,9,20,Vegetarian,Dinner,1 plate,Maharashtra,40
Puri Bhaji,"Wheat flour, potato, spices",330,40,5,15,Vegetarian,Breakfast,4 puris + sabzi,North India,35
Sabudana Khichadi,"Sago, potato, peanuts, spices",250,30,4,12,Vegetarian,Snack,1 bowl,Maharashtra,30
Sev khamani,"Gram flour, sev, spices",200,25,8,8,Vegetarian,Snack,1 bowl,Gujarat,35
Sev tameta,"Tomato, sev, spices",150,15,5,7,Vegetarian,Lunch,1 bowl,Gujarat,25
Namakpara,"Wheat flour, semolina, spices, oil",200,25,4,10,Vegetarian,Snack,1/2 cup,North India,25
Sukhdi,"Wheat flour, ghee, jaggery",300,40,5,14,Vegetarian,Dessert,1 piece,Gujarat,40
Surnoli,"Rice flour, coconut milk, jaggery",180,25,3,7,Vegetarian,Breakfast,1 piece,Konkan,30
Thalipeeth,"Mixed flour, onion, spices",220,30,7,6,Vegetarian,Breakfast,1 thalipeeth,Maharashtra,30
Undhiyu,"Mixed vegetables, spices, herbs",250,30,8,10,Vegetarian,Lunch,1 bowl,Gujarat,40
Veg Kolhapuri,"Mixed vegetables, Kolhapuri masala",200,25,7,8,Vegetarian,Lunch,1 bowl,Maharashtra,35
Vindaloo,"Meat/vegetables, vinegar, spices",250,25,10,12,Non-Vegetarian/Vegetarian,Lunch,1 bowl,Goa,40
Lilva Kachori,"Pigeon peas, spices, refined flour",220,25,6,10,Vegetarian,Snack,1 piece,Gujarat,30
Mag Dhokli,"Wheat flour, lentils, spices",200,25,7,5,Vegetarian,Lunch,1 bowl,Gujarat,30
Khichu,"Rice flour, spices",150,20,3,7,Vegetarian,Snack,1 bowl,Gujarat,25
Thepla,"Wheat flour, fenugreek leaves, spices",160,20,4,7,Vegetarian,Breakfast,1 thepla,Gujarat,25
Farsi Puri,"Refined flour, spices",180,20,3,9,Vegetarian,Snack,2 puris,Gujarat,30
Khaman,"Gram flour, spices",150,22,6,4,Vegetarian,Breakfast,2 pieces,Gujarat,20
Turiya Patra,"Ridge gourd, gram flour, spices",160,20,5,6,Vegetarian,Lunch,1 bowl,Gujarat,30
Vatana sabji,"Green peas, spices",120,15,5,3,Vegetarian,Lunch,1 bowl,Maharashtra,20
Churma Ladoo,"Wheat flour, ghee, jaggery",300,40,5,14,Vegetarian,Dessert,1 piece,Rajasthan,45
Cheera Doi,"Flattened rice, yogurt, sugar/jaggery",200,30,6,5,Vegetarian,Breakfast,1 bowl,Assam,30
Gheela Pitha,"Rice flour, jaggery",180,25,3,7,Vegetarian,Snack,2 pieces,Assam,25
Khar,"Vegetables, banana peel ash",100,10,2,2,Vegetarian,Lunch,1 bowl,Assam,20
Kumol Sawul,Rice,80,15,2,1,Vegetarian,Lunch,1 plate,Assam,15
Luchi,"Refined flour, oil",120,15,2,5,Vegetarian,Breakfast,2 luchis,Bengal,20
Alu Pitika,"Potato, onion, coriander, mustard oil",100,15,2,3,Vegetarian,Side Dish,1/2 cup,Assam,18
Masor tenga,"Fish, lemon, tomato, spices",150,10,15,5,Non-Vegetarian,Lunch,1 bowl,Assam,35
Bengena Pitika,"Eggplant, onion, coriander, mustard oil",90,8,1,6,Vegetarian,Side Dish,1/2 cup,Assam,15
Black rice,"Black rice, water",160,34,4,1,Vegetarian,Lunch,1 cup cooked,Manipur,40
Bora Sawul,Sticky rice,170,37,3,1,Vegetarian,Breakfast,1 cup,Assam,35
Brown Rice,"Brown rice, water",220,45,5,2,Vegetarian,Lunch,1 cup cooked,Pan India,30
Chingri malai curry,"Prawns, coconut milk, spices",350,15,20,22,Non-Vegetarian,Dinner,1 bowl,Bengal,90
Goja,"Wheat flour, jaggery",200,30,4,7,Vegetarian,Snack,2 pieces,Assam,30
Hando Guri,"Rice flour, jaggery",180,25,3,7,Vegetarian,Snack,2 pieces,Assam,25
Haq Maas,"Mutton, spices",400,10,30,28,Non-Vegetarian,Dinner,1 bowl,Kashmir,120
Chingri Bhape,"Prawns, mustard paste, coconut, spices",280,10,20,18,Non-Vegetarian,Lunch,1 bowl,Bengal,80
Kabiraji,"Chicken/fish, egg, breadcrumbs",300,15,18,18,Non-Vegetarian,Snack,1 piece,Bengal,70
Khorisa,Fermented bamboo shoot,50,8,2,1,Vegetarian,Side Dish,1/4 cup,Assam,15
Koldil Chicken,"Chicken, banana flower, spices",250,10,20,15,Non-Vegetarian,Lunch,1 bowl,Assam,75
Konir Dom,"Eggs, potatoes, spices",200,10,12,12,Non-Vegetarian,Lunch,"2 eggs, 1 potato",Assam,40
Koldil Duck,"Duck, banana flower, spices",300,10,25,20,Non-Vegetarian,Lunch,1 bowl,Assam,90
Masor Koni,"Fish, eggs, spices",220,8,18,12,Non-Vegetarian,Lunch,"1 fish, 1 egg",Assam,50
Mishti Chholar Dal,"Chana dal, coconut, sugar, spices",220,30,8,6,Vegetarian,Lunch,1 bowl,Bengal,35
Pakhala,"Rice, water, yogurt",150,25,3,2,Vegetarian,Lunch,1 bowl,Odisha,20
Pani Pitha,"Rice flour, jaggery, oil",150,20,2,7,Vegetarian,Snack,2 pieces,Assam,25
Payokh,"Rice, milk, sugar, cardamom",200,30,5,7,Vegetarian,Dessert,1 bowl,Assam,30
Prawn malai curry,"Prawns, coconut milk, spices",350,15,20,22,Non-Vegetarian,Dinner,1 bowl,Bengal,90
Red Rice,"Red rice, water",210,42,5,1,Vegetarian,Lunch,1 cup cooked,South India,30
Shukto,"Mixed vegetables, mustard paste, spices",180,15,5,10,Vegetarian,Lunch,1 bowl,Bengal,30
Til Pitha,"Rice flour, sesame seeds, jaggery",200,25,4,10,Vegetarian,Breakfast,2 pieces,Assam,30
Bebinca,"Flour, coconut milk, sugar, eggs, ghee",350,40,5,20,Vegetarian,Dessert,1 slice,Goa,50
Shufta,"Dried fruits, nuts, spices, ghee",300,35,7,15,Vegetarian,Dessert,1 bowl,Kashmir,60
Mawa Bati,"Mawa, flour, sugar, nuts, cardamom",250,30,5,12,Vegetarian,Dessert,1 piece,Madhya Pradesh,40
Pinaca,"Jaggery, nuts, grated coconut, rice powder and cardamom",220,30,6,8,Vegetarian,Dessert,1 piece,Goa,30
Paneer Butter Masala with Jeera Rice,"Paneer, Tomato, Cream, Spices, Rice, Cumin, Ghee",550,50,20,30,Vegetarian,Dinner,1 bowl + 1 plate,Punjabi,90
Rajma Chawal,"Kidney Beans, Rice, Tomato, Onion, Garlic, Spices",385,60,12,8,Vegetarian,Lunch,1 medium plate,Punjabi,40
Hyderabadi Biryani,"Rice, meat/vegetables, spices",450,50,20,18,Non-Vegetarian/Vegetarian,Dinner,1 plate,Hyderabadi,120
Masoor Dal Tadka with Basmati Rice,"Red Lentils, Onion, Tomato, Spices, Rice",400,50,15,10,Vegetarian,Lunch,1 bowl + 1 plate,North India,50
Aloo Paratha with Curd,"Wheat Flour, Potato, Spices, Butter, Yogurt",350,40,8,15,Vegetarian,Breakfast,1 paratha + 1 bowl,Punjabi,40
Chole Bhature,"Chickpeas, Refined Flour, Spices, Onion",450,55,15,18,Vegetarian,Breakfast,1 plate,Punjabi,50
Vegetable Pulao with Raita,"Rice, Vegetables, Spices, Yogurt",350,45,8,12,Vegetarian,Lunch,1 plate + 1 bowl,North Indian,40
Palak Paneer,"Spinach, Paneer, Onion, Tomato, Spices",300,14,16,18,Vegetarian,Lunch,1 bowl,Punjabi,45
Egg Curry,"Eggs, Onion, Tomato, Spices",320,10,20,20,Non-Vegetarian,Lunch,1 bowl,North India,50
Paneer Kathi Roll,"Paneer, Wheat Flour, Vegetables, Spices",300,30,12,14,Vegetarian,Snack,1 roll,North India,40
Paneer Paratha,"Wheat Flour, Paneer, Spices, Butter",320,38,10,14,Vegetarian,Breakfast,1 paratha,Punjabi,40
Chicken Biryani,"Rice, Chicken, Spices, Yogurt",450,50,20,18,Non-Vegetarian,Dinner,1 plate,Hyderabadi,120
Khichdi,"Rice, Lentils, Vegetables, Spices",250,35,10,5,Vegetarian,Lunch,1 bowl,North India,30
Bhindi Do Pyaza,"Okra, Onion, Spices",160,20,5,6,Vegetarian,Lunch,1 bowl,North India,30
Masala Bhindi,"Okra, Spices",140,15,4,7,Vegetarian,Lunch,1 bowl,North India,30
Chana Kulcha,"Chickpeas, Refined Flour, Spices",400,50,15,15,Vegetarian,Lunch,1 plate,Punjab,50
Shahi Egg Curry,"Eggs, Onion, Tomato, Spices, Cream",350,12,22,22,Non-Vegetarian,Dinner,1 bowl,North India,60
Dal Makhani,"Black Lentils, Cream, Butter, Spices",350,25,15,20,Vegetarian,Dinner,1 bowl,Punjab,60
Punjabi Dal Tadka,"Yellow Lentils, Onion, Tomato, Spices",220,35,10,5,Vegetarian,Lunch,1 bowl,North India,35
Kashmiri Rajma,"Kidney Beans, Spices",300,40,15,8,Vegetarian,Lunch,1 bowl,Kashmir,45
Paneer Tamatar Ki Subzi,"Paneer, Tomato, Spices",320,15,18,20,Vegetarian,Lunch,1 bowl,North India,50
Kashmiri Paneer,"Paneer, Spices",350,15,20,22,Vegetarian,Dinner,1 bowl,Kashmir,60
Paneer Pulao,"Rice, Paneer, Vegetables, Spices",300,40,10,10,Vegetarian,Lunch,1 plate,North India,40
Tawa Pulao,"Rice, Vegetables, Spices",280,40,6,10,Vegetarian,Lunch,1 plate,Maharashtra,35
Aloo Fry,"Potato, Spices",150,20,3,7,Vegetarian,Side Dish,1 bowl,South India,25
Raw Banana Methi Subzi,"Raw Banana, Fenugreek Leaves, Spices",160,22,4,6,Vegetarian,Lunch,1 bowl,North India,30
French Beans and Carrot Thoran,"French Beans, Carrot, Coconut, Mustard Seeds, Curry Leaves",150,15,5,8,Vegetarian,Lunch,1 cup,Kerala,30
Pau Bhaji,"Potato, Mixed Vegetables, Butter, Pav",420,45,9,20,Vegetarian,Dinner,1 plate,Maharashtra,40
Paneer Fishcakes with Chutney,"Paneer, Potatoes, Spices, Breadcrumbs, Mint Chutney",280,20,12,16,Vegetarian,Snack,2 fishcakes,North India,50
Indian Spiced Pizza,"Pizza Base, Tomato Sauce, Paneer/Chicken, Vegetables, Spices",350,35,15,15,Vegetarian/Non-Vegetarian,Dinner,1 slice,Fusion,60
Cardamom Chicken,"Chicken, Cardamom, Yogurt, Spices",320,10,25,20,Non-Vegetarian,Dinner,1 bowl,North India,80
Gullfrazie Chicken and Cashew Nut Curry,"Chicken, Cashew Nuts, Onion, Tomato, Spices",400,15,30,25,Non-Vegetarian,Dinner,1 bowl,North India,90
Spinach and Paneer Koftas,"Spinach, Paneer, Potato, Spices, Cream",300,20,10,20,Vegetarian,Dinner,4 koftas,North India,60
Achaari Salmon Wraps,"Salmon, Pickling Spices, Yogurt, Wheat Tortilla",350,30,20,18,Non-Vegetarian,Lunch,1 wrap,Fusion,70
Basmati Rice Pilaf with Apricots,"Basmati Rice, Apricots, Spices, Nuts",250,40,5,8,Vegetarian,Lunch,1 plate,Mughlai,40
Slow Cooker Chicken Curry,"Chicken, Onion, Tomato, Spices",300,10,25,18,Non-Vegetarian,Dinner,1 bowl,North India,70
Paneer Pakoras,"Paneer, Gram Flour, Spices, Oil",250,20,12,15,Vegetarian,Snack,4 pieces,North India,40
Sprouts Salad,"Mixed Sprouts, Onion, Tomato, Cucumber, Lemon Juice",150,20,8,4,Vegetarian,Snack,1 bowl,Pan India,30
Gujarati Kadhi,"Yogurt, Gram Flour, Spices, Jaggery",180,20,6,8,Vegetarian,Lunch,1 bowl,Gujarat,30
Brown Rice Bowl with Curried Roasted Cauliflower,"Brown Rice, Cauliflower, Curry Powder, Spices",300,40,10,10,Vegetarian,Lunch,1 bowl,Fusion,50
Curried Chicken Salad,"Chicken, Yogurt, Curry Powder, Spices, Celery, Onion",320,15,25,18,Non-Vegetarian,Lunch,1 bowl,Fusion,60
Lobster Rolls with Curry Mayonnaise,"Lobster Meat, Curry Powder, Mayonnaise, Bread Rolls",400,30,20,25,Non-Vegetarian,Lunch,1 roll,Fusion,80
Crab and Coconut Samosas,"Crab Meat, Coconut, Spices, Refined Flour",280,25,8,15,Non-Vegetarian,Snack,2 samosas,Goa,50
Onion Bhajis,"Onion, Gram Flour, Spices, Oil",200,20,6,10,Vegetarian,Snack,4 bhajis,Maharashtra,30
Daal,"Lentils, Spices",200,30,12,5,Vegetarian,Lunch,1 bowl,Pan India,30
Daal Fry,"Lentils, Onion, Tomato, Spices",220,35,10,5,Vegetarian,Lunch,1 bowl,North India,35
Moong Dal Khichdi,"Moong Dal, Rice, Spices, Vegetables",250,35,10,5,Vegetarian,Lunch,1 bowl,North India,30
Baingan Bharta,"Eggplant, Onion, Tomato, Spices",180,15,4,10,Vegetarian,Lunch,1 bowl,North India,20
Mix Veg Curry,"Mixed Vegetables, Onion, Tomato, Spices",200,25,7,8,Vegetarian,Lunch,1 bowl,North India,35
Lauki Kofta Curry,"Bottle Gourd, Gram Flour, Onion, Tomato, Spices",250,20,8,15,Vegetarian,Lunch,1 bowl,North India,40
Methi Thepla (with curd),"Wheat Flour, Fenugreek Leaves, Spices, Yogurt",280,30,8,14,Vegetarian,Breakfast,1 thepla + 1 bowl,Gujarat,40
Stuffed Capsicum,"Capsicum, Potato, Spices, Onion",200,25,5,8,Vegetarian,Lunch,1 capsicum,North India,35
Gajar ka Halwa (as dessert),"Carrot, Milk, Sugar, Ghee, Cashews, Raisins",300,45,6,10,Vegetarian,Dessert,1 bowl,North India,40
Spinach Moong Dal Cheela,"Spinach, Moong Dal, Spices",180,20,9,4,Vegetarian,Breakfast,1 cheela,North India,30
Protein Shake,"Protein Powder, Milk/Yogurt, Fruits, Nuts",250,20,25,8,Vegetarian,Breakfast/Snack,1 glass,Pan India,50
Papaya Multigrain Roti,"Papaya, Multigrain Flour, Spices",220,30,7,6,Vegetarian,Breakfast,1 roti,Pan India,30
Fish Curry,"Fish, Onion, Tomato, Spices",280,10,20,18,Non-Vegetarian,Lunch,1 bowl,South India,70
Greek Salad,"Cucumber, Tomato, Onion, Olives, Feta Cheese, Olive Oil",200,15,8,12,Vegetarian,Lunch,1 bowl,Mediterranean,40
Mushroom Matar Paneer Curry,"Mushroom, Peas, Paneer, Onion, Tomato, Spices",320,15,18,20,Vegetarian,Dinner,1 bowl,North India,55
Tofu Vegetable Salad,"Tofu, Mixed Vegetables, Lettuce, Olive Oil, Lemon Juice",180,15,10,8,Vegetarian,Lunch,1 bowl,Pan India,35
Overnight Oats Berries Bowl,"Oats, Milk/Yogurt, Berries, Nuts, Seeds",220,30,8,8,Vegetarian,Breakfast,1 bowl,Pan India,40
Overnight Oats Berries Bowl,"Oats, Milk/Yogurt, Berries, Nuts, Seeds",220,30,8,8,Vegetarian,Breakfast,1 bowl,Pan India,40
Seasonal Fruit,Assorted Seasonal Fruits,100,25,1,0,Vegetarian,Snack,1 bowl,Pan India,25
Brown Rice,"Brown Rice, Water",220,45,5,2,Vegetarian,Lunch,1 cup cooked,Pan India,30
Lauki Chana Dal,"Bottle Gourd, Chana Dal, Spices",200,25,8,5,Vegetarian,Lunch,1 bowl,North India,35
Egg Curry (Anda Curry),"Eggs, Onion, Tomato, Spices",320,10,20,20,Non-Vegetarian,Lunch,1 bowl,North India,50
Chana Salad,"Chickpeas, Onion, Tomato, Cucumber, Lemon Juice",180,25,10,4,Vegetarian,Lunch,1 bowl,Pan India,30
Quinoa Vegetable Khichdi,"Quinoa, Vegetables, Lentils, Spices",280,35,12,8,Vegetarian,Lunch,1 bowl,Pan India,45
Shahi Paneer,"Paneer, Tomato, Cream, Cashews, Spices",400,20,15,30,Vegetarian,Dinner,1 bowl,North India,70
Vegetable Salad,"Mixed Vegetables, Lettuce, Olive Oil, Lemon Juice",150,15,5,7,Vegetarian,Lunch,1 bowl,Pan India,30
Boiled Eggs,Eggs,70,1,6,5,Non-Vegetarian,Breakfast/Snack,2 eggs,Pan India,20
Steamed Vegetables,Assorted Steamed Vegetables,100,15,5,2,Vegetarian,Lunch,1 bowl,Pan India,25
Lemon Gravy Chicken,"Chicken, Lemon, Spices",280,8,25,15,Non-Vegetarian,Dinner,1 bowl,Pan India,60
Greek Yogurt,Greek Yogurt,150,7,20,4,Vegetarian,Breakfast/Snack,1 cup,Pan India,40
Tofu Curry,"Tofu, Onion, Tomato, Spices",220,15,12,10,Vegetarian,Lunch,1 bowl,Pan India,40
Sprouts Salad,"Mixed Sprouts, Onion, Tomato, Cucumber, Lemon Juice",150,20,8,4,Vegetarian,Snack,1 bowl,Pan India,30
Apple Peanut Butter Smoothie (with Whey Protein),"Apple, Peanut Butter, Whey Protein, Milk/Yogurt",350,30,30,15,Vegetarian,Breakfast,1 glass,Pan India,60
Multigrain Chapati,"Multigrain Flour, Water, Oil",120,22,4,2,Vegetarian,Lunch/Dinner,1 chapati,Pan India,15
Egg Bhurji,"Eggs, Onion, Tomato, Spices",180,5,12,12,Non-Vegetarian,Breakfast,1 bowl,Pan India,30
Cucumber Raita,"Yogurt, Cucumber, Spices",80,8,5,3,Vegetarian,Lunch/Snack,1 bowl,North India,20
Sauteed Vegetables,"Mixed Vegetables, Olive Oil, Spices",150,15,5,8,Vegetarian,Lunch/Dinner,1 bowl,Pan India,30
Multigrain Millet Vegetable Khichdi,"Multigrain Millet, Vegetables, Lentils, Spices",280,35,12,8,Vegetarian,Lunch,1 bowl,Pan India,45
Curd,Yogurt,120,8,12,5,Vegetarian,Breakfast/Snack,1 cup,Pan India,25
Paneer Bhurji,"Paneer, Onion, Tomato, Spices",220,8,15,15,Vegetarian,Breakfast,1 bowl,North India,40
Low-fat Yogurt,Low-fat Yogurt,100,10,10,2,Vegetarian,Breakfast/Snack,1 cup,Pan India,30
Sprout Salad,"Mixed Sprouts, Onion, Tomato, Cucumber, Lemon Juice",150,20,8,4,Vegetarian,Snack,1 bowl,Pan India,30
Roasted Chickpeas,"Chickpeas, Spices, Oil",180,25,8,5,Vegetarian,Snack,1/2 cup,Pan India,30
Mixed Vegetable Sabzi,"Mixed Vegetables, Onion, Tomato, Spices",200,25,7,8,Vegetarian,Lunch,1 bowl,North India,35
Broccoli Cauliflower Sabzi,"Broccoli, Cauliflower, Spices",150,15,5,8,Vegetarian,Lunch,1 bowl,Pan India,35
Cauliflower Whole Grain Toast (with Almond Butter or Avocado),"Cauliflower, Whole Grain Toast, Almond Butter/Avocado, Spices",250,25,10,12,Vegetarian,Breakfast,1 slice,Pan India,45
Baked Sweet Potatoes,"Sweet Potatoes, Spices",150,30,3,2,Vegetarian,Snack,1 medium,Pan India,30
Whey Protein Shake,"Whey Protein, Milk/Water",150,5,25,2,Vegetarian,Post-Workout,1 shake,Pan India,50
Dextrose Monohydrate (Post-Workout),Dextrose Monohydrate,100,25,0,0,Vegetarian,Post-Workout,1 serving,Pan India,20
Avocado and White Bean Salad (with Cheese Dressing),"Avocado, White Beans, Cheese, Lettuce, Olive Oil, Lemon Juice",300,20,15,20,Vegetarian,Lunch,1 bowl,Fusion,55
Chicken Broccoli Salad (with Flax Oil Dressing),"Chicken, Broccoli, Lettuce, Flax Oil, Lemon Juice",250,10,25,12,Non-Vegetarian,Lunch,1 bowl,Pan India,60
Tandoori Chicken,"Chicken, Yogurt, Spices",250,3,27,13,Non-Vegetarian,Dinner,2 pieces,North India,80
Lauki Kofta,"Bottle Gourd, Gram Flour, Spices",250,20,8,15,Vegetarian,Lunch,1 bowl,North India,40
Paneer Tikka,"Paneer, Yogurt, Spices",280,12,18,20,Vegetarian,Dinner,6 pieces,North India,90
Dal Tadka,"Yellow Lentils, Onion, Tomato, Spices",210,36,8,6,Vegetarian,Lunch,1 bowl,North India,60
Mixed Bean Sabzi,"Mixed Beans, Onion, Tomato, Spices",200,25,10,5,Vegetarian,Lunch,1 bowl,North India,35
Chickpea Salad,"Chickpeas, Onion, Tomato, Cucumber, Lemon Juice",180,25,10,4,Vegetarian,Lunch,1 bowl,Pan India,30
Lentil Soup (Dal),"Lentils, Spices",200,30,12,5,Vegetarian,Lunch,1 bowl,Pan India,30
Grilled Chicken Breast,"Chicken Breast, Spices",165,0,31,3.6,Non-Vegetarian,Dinner,1 breast,Pan India,70
Cottage Cheese (Paneer),Paneer,265,4,28,15,Vegetarian,Snack,100 grams,North India,50
Greek Yogurt Parfait,"Greek Yogurt, Fruits, Granola",250,30,15,8,Vegetarian,Breakfast,1 parfait,Pan India,45
Oats Porridge,"Oats, Milk, Sugar/Honey",150,25,5,3,Vegetarian,Breakfast,1 bowl,Pan India,30
Sweet Potato Chaat,"Sweet Potato, Spices, Lemon Juice",180,30,3,5,Vegetarian,Snack,1 bowl,Pan India,30
"Fruit Salad (Banana, apple, mango,blueberry) ","Banana, apple, mango,blueberry",120,30,2,1,vegetarian,Snack,1 bowl,Pan India,60
Basmati Rice,"Basmati Rice, Water",220,45,5,2,Vegetarian,Lunch,1 cup cooked,Pan India,30
Quinoa Pulao,"Quinoa, Vegetables, Spices",250,35,10,8,Vegetarian,Lunch,1 bowl,Pan India,45
Whey Protein Shake,"Whey Protein, Milk/Water",150,5,25,2,Vegetarian,Post-Workout,1 shake,Pan India,50
